IWX_TABLE_ID,IWX_SOURCE_ID,TABLE_NAME,DATALAKE_SCHEMA,DATALAKE_PATH,TARGET_RELATIVE_PATH,DATALAKE_TABLE_NAME,SOURCE_FILE_TYPE,INGEST_SUBDIRECTORIES,SOURCE_RELATIVE_PATH,EXCLUDE_FILENAME_REGEX,INCLUDE_FILENAME_REGEX,IS_ARCHIVE_ENABLED,COLUMN_ENCLOSED_BY,COLUMN_SEPARATOR,ENCODING,ESCAPE_CHARACTER,HEADER_ROWS_COUNT,PROBABLE_NATURAL_KEYS,STORAGE_FORMAT,INGESTION_STRATEGY,WATERMARK_COLUMN,SCD_TYPE_2,TARGET_SCHEMA_NAME,TARGET_TABLE_NAME,TABLE_GROUP_NAME,PARTITION_COLUMN,DERIVED_PARTITION,DERIVED_FORMAT
62f11d25df85ca2bc85a2e82,62f11ce1df85ca2bc85a2e67,CDE_AGNT_SUPN_PREP,PUBLIC,/iw/sources/csv_att_automation_aug843/cde_agnt_supn_prep_schema,/cde_agnt_supn_prep_schema,CDE_AGNT_SUPN_PREP,csv,True,/qfiniti_internal/cde_agnt_supn_prep,,.*,False,"""",|,UTF-8,\,0,"supn_id,Attuid,supn_trans_id,rel_aprvr_id,rel_trans_id",parquet,INCREMENTAL_MERGE,load_dt,FALSE,PUBLIC,CDE_AGNT_SUPN_PREP,,,FALSE,
62f11d25df85ca2bc85a2e83,62f11ce1df85ca2bc85a2e67,JDPWR_SRVY_RESP_PREP,PUBLIC,/iw/sources/csv_att_automation_aug843/jdpwr_srvy_resp_prep_schema,/jdpwr_srvy_resp_prep_schema,JDPWR_SRVY_RESP_PREP,csv,True,/qfiniti_internal/jdpwr_srvy_resp_prep,,.*,False,"""",|,UTF-8,\,0,"jdpwr_srvy_resp_id,srvy_nm",parquet,INCREMENTAL_MERGE,load_dt,FALSE,PUBLIC,JDPWR_SRVY_RESP_PREP,,,FALSE,
62f11d25df85ca2bc85a2e84,62f11ce1df85ca2bc85a2e67,IEX_SCHD_MBLTY_PREP,PUBLIC,/iw/sources/csv_att_automation_aug843/iex_schd_mblty_prep_schema,/iex_schd_mblty_prep_schema,IEX_SCHD_MBLTY_PREP,csv,True,/qfiniti_internal/iex_schd_mblty_prep,,.*,False,"""",|,UTF-8,\,0,"cust_nm,prtn_nm,cust_id,mgt_unit_id,mgt_unit_nm,src_rep_id,lgn_id,rep_nm,extrn_id,prsnl_id,excpt_oid,actvt_nm,agnt_c_oid,asa_c_oid,c_nm",parquet,INCREMENTAL_MERGE,src_data_dt,FALSE,PUBLIC,IEX_SCHD_MBLTY_PREP,,,FALSE,
62f11d25df85ca2bc85a2e85,62f11ce1df85ca2bc85a2e67,IEX_INBND_TM_MBLTY_PREP,PUBLIC,/iw/sources/csv_att_automation_aug843/iex_inbnd_tm_mblty_prep_schema,/iex_inbnd_tm_mblty_prep_schema,IEX_INBND_TM_MBLTY_PREP,csv,True,/qfiniti_internal/iex_inbnd_tm_mblty_prep,,.*,False,"""",|,UTF-8,\,0,"cust_nm,cust_id,prtn_nm,acd_id,acd_nm,pbx_key,src_rep_id,extrnl_id,lgn_id,rep_nm,mgt_unit_id,mgt_unit_nm,prsnl_id",parquet,INCREMENTAL_MERGE,src_data_dt,FALSE,PUBLIC,IEX_INBND_TM_MBLTY_PREP,,,FALSE,
62f11d25df85ca2bc85a2e86,62f11ce1df85ca2bc85a2e67,JDPWR_SRVY_PREP,PUBLIC,/iw/sources/csv_att_automation_aug843/jdpwr_srvy_prep_schema,/jdpwr_srvy_prep_schema,JDPWR_SRVY_PREP,csv,True,/qfiniti_internal/jdpwr_srvy_prep,,.*,False,"""",|,UTF-8,\,0,"jdpwr_srvy_resp_id,srvy_nm",parquet,INCREMENTAL_MERGE,load_dt,FALSE,PUBLIC,JDPWR_SRVY_PREP,,,FALSE,
62f11d25df85ca2bc85a2e87,62f11ce1df85ca2bc85a2e67,CDE_AGNT_WARNG_PRXMT_PREP,PUBLIC,/iw/sources/csv_att_automation_aug843/cde_agnt_warng_prxmt_prep_schema,/cde_agnt_warng_prxmt_prep_schema,CDE_AGNT_WARNG_PRXMT_PREP,csv,True,/qfiniti_internal/cde_agnt_warng_prxmt_prep,,.*,False,"""",|,UTF-8,\,0,"warng_id,attuid,warng_trans_id",parquet,INCREMENTAL_MERGE,load_dt,FALSE,PUBLIC,CDE_AGNT_WARNG_PRXMT_PREP,,,FALSE,
62f11d25df85ca2bc85a2e88,62f11ce1df85ca2bc85a2e67,CCPM_WRD_SLS_ORD_DTL_PREP,PUBLIC,/iw/sources/csv_att_automation_aug843/ccpm_wrd_sls_ord_dtl_prep_schema,/ccpm_wrd_sls_ord_dtl_prep_schema,CCPM_WRD_SLS_ORD_DTL_PREP,csv,True,/qfiniti_internal/ccpm_wrd_sls_ord_dtl_prep,,.*,False,"""",|,UTF-8,\,0,"ord_id,src_sys_id,ord_dtl_id,asgnd_prd_itm_id,ord_actn_crtr_attuid,src_bndl_id,dtvbv_plan_nm,dtvbv_prtnr_nm,dtvbv_prtnr_id,dtvbv_vist_id,bllr_nm,sub_chort_id",parquet,INCREMENTAL_MERGE,load_dt,FALSE,PUBLIC,CCPM_WRD_SLS_ORD_DTL_PREP,,,FALSE,
62f11d25df85ca2bc85a2e89,62f11ce1df85ca2bc85a2e67,CDE_ADJ_TRANS_PREP,PUBLIC,/iw/sources/csv_att_automation_aug843/cde_adj_trans_prep_schema,/cde_adj_trans_prep_schema,CDE_ADJ_TRANS_PREP,csv,True,/qfiniti_internal/cde_adj_trans_prep,,.*,False,"""",|,UTF-8,\,0,"trans_id,cust_id,rqstr_att_id,secur_prof_id,telg_prof_id,clng_sys_id,orgr_sys_nm,resp_cust_id,case_id,dcsn_updt_trans_id,prd_lvl_id,ovrd_aprvr_id,blng_sbmt_by_id,bllr_adj_trans_id,bds_trans_id,evt_id,orgr_sys_id,adj_expln_cat_nm,otg_evt_id,ovrd_rjct_attuid",parquet,INCREMENTAL_MERGE,load_dt,FALSE,PUBLIC,CDE_ADJ_TRANS_PREP,,,FALSE,
62f11d3adf85ca2bc85a2e92,62f11ce1df85ca2bc85a2e67,IEX_LGN_MBLTY_PREP,PUBLIC,/iw/sources/csv_att_automation_aug843/iex_lgn_mblty_prep_schema,/iex_lgn_mblty_prep_schema,IEX_LGN_MBLTY_PREP,csv,True,/qfiniti_internal/iex_lgn_mblty_prep,,.*,False,"""",|,UTF-8,\,0,"cust_nm,cust_id,prtn_nm,acd_id,acd_nm,src_rep_id,extrnl_id,lgn_id,rep_nm,mgt_unit_id,mgt_unit_nm,prsnl_id",parquet,INCREMENTAL_MERGE,src_data_dt,FALSE,PUBLIC,IEX_LGN_MBLTY_PREP,,,FALSE,
62f11d45df85ca2bc85a2e94,62f11ce1df85ca2bc85a2e67,CCPM_WRD_PRD_CTLG_PREP,PUBLIC,/iw/sources/csv_att_automation_aug843/ccpm_wrd_prd_ctlg_prep_schema,/ccpm_wrd_prd_ctlg_prep_schema,CCPM_WRD_PRD_CTLG_PREP,csv,True,/qfiniti_internal/ccpm_wrd_prd_ctlg_prep,,.*,False,"""",|,UTF-8,\,0,,parquet,INCREMENTAL_MERGE,load_dt,FALSE,PUBLIC,CCPM_WRD_PRD_CTLG_PREP,,,FALSE,
62f11d56df85ca2bc85a2e97,62f11ce1df85ca2bc85a2e67,OFE_OFFR_DIM_PREP,PUBLIC,/iw/sources/csv_att_automation_aug843/ofe_offr_dim_prep_schema,/ofe_offr_dim_prep_schema,OFE_OFFR_DIM_PREP,csv,True,/qfiniti_internal/ofe_offr_dim_prep,,.*,False,"""",|,UTF-8,\,0,prpstn_nm,parquet,INCREMENTAL_MERGE,load_dt,FALSE,PUBLIC,OFE_OFFR_DIM_PREP,,,FALSE,
62f11d56df85ca2bc85a2e98,62f11ce1df85ca2bc85a2e67,QLTRCS_SRVY_RESP_PREP,PUBLIC,/iw/sources/csv_att_automation_aug843/qltrcs_srvy_resp_prep_schema,/qltrcs_srvy_resp_prep_schema,QLTRCS_SRVY_RESP_PREP,csv,True,/qfiniti_internal/qltrcs_srvy_resp_prep,,.*,False,"""",|,UTF-8,\,0,"srvy_resp_id,qustn_id",parquet,INCREMENTAL_MERGE,load_dt,FALSE,PUBLIC,QLTRCS_SRVY_RESP_PREP,,,FALSE,
62f11d56df85ca2bc85a2e99,62f11ce1df85ca2bc85a2e67,OFE_OFFR_HDR_PREP,PUBLIC,/iw/sources/csv_att_automation_aug843/ofe_offr_hdr_prep_schema,/ofe_offr_hdr_prep_schema,OFE_OFFR_HDR_PREP,csv,True,/qfiniti_internal/ofe_offr_hdr_prep,,.*,False,"""",|,UTF-8,\,0,"offr_id,attuid,loc_id,loc_nm,ott_acct_id,dtv_lgc_acct_id,orgn_sesn_id",parquet,INCREMENTAL_MERGE,load_dt,FALSE,PUBLIC,OFE_OFFR_HDR_PREP,,,FALSE,
62f11d60df85ca2bc85a2e9e,62f11ce1df85ca2bc85a2e67,QLTRCS_SRVY_FCT_PREP,PUBLIC,/iw/sources/csv_att_automation_aug843/qltrcs_srvy_fct_prep_schema,/qltrcs_srvy_fct_prep_schema,QLTRCS_SRVY_FCT_PREP,csv,True,/qfiniti_internal/qltrcs_srvy_fct_prep,,.*,False,"""",|,UTF-8,\,0,"srvy_resp_id,srvy_nm,cust_loc_id,acct_id,srv_accs_id",parquet,INCREMENTAL_MERGE,load_dt,FALSE,PUBLIC,QLTRCS_SRVY_FCT_PREP,,,FALSE,
62f11d60df85ca2bc85a2e9f,62f11ce1df85ca2bc85a2e67,IEX_ADHRNC_PREP,PUBLIC,/iw/sources/csv_att_automation_aug843/iex_adhrnc_prep_schema,/iex_adhrnc_prep_schema,IEX_ADHRNC_PREP,csv,True,/qfiniti_internal/iex_adhrnc_prep,,.*,False,"""",|,UTF-8,\,0,"cust_id,mgt_unit_id,tv_id,acd_id,lgn_id,agnt_nm,rep_attuid,node_nm,cust_nm",parquet,INCREMENTAL_MERGE,load_dt,FALSE,PUBLIC,IEX_ADHRNC_PREP,,,FALSE,
62f11d60df85ca2bc85a2ea0,62f11ce1df85ca2bc85a2e67,HBOMX_ACCT_HIST_DIM_PREP,PUBLIC,/iw/sources/csv_att_automation_aug843/hbomx_acct_hist_dim_prep_schema,/hbomx_acct_hist_dim_prep_schema,HBOMX_ACCT_HIST_DIM_PREP,csv,True,/qfiniti_internal/hbomx_acct_hist_dim_prep,,.*,False,"""",|,UTF-8,\,0,"bill_sys_geo_id,lob_nm,subsrptn_prd_offr_key",parquet,INCREMENTAL_MERGE,load_dt,FALSE,PUBLIC,HBOMX_ACCT_HIST_DIM_PREP,,,FALSE,
62f11d61df85ca2bc85a2ea1,62f11ce1df85ca2bc85a2e67,HBOMX_PROMO_PREP,PUBLIC,/iw/sources/csv_att_automation_aug843/hbomx_promo_prep_schema,/hbomx_promo_prep_schema,HBOMX_PROMO_PREP,csv,True,/qfiniti_internal/hbomx_promo_prep,,.*,False,"""",|,UTF-8,\,0,,parquet,INCREMENTAL_MERGE,load_dt,FALSE,PUBLIC,HBOMX_PROMO_PREP,,,FALSE,
